Segment,VADER_Positive,VADER_Neutral,VADER_Negative
2024-12-13 10:20:00,0.0,0.0,0.0
2024-12-13 10:25:00,0.0,0.0,0.0
2024-12-13 10:30:00,0.0,0.0,0.0
2024-12-13 10:35:00,0.21,0.707,0.084
2024-12-13 10:40:00,0.0,0.0,0.0
2024-12-13 10:45:00,0.0,0.0,0.0
2024-12-13 10:50:00,0.0,0.0,0.0
2024-12-13 10:55:00,0.0,0.0,0.0
2024-12-13 11:00:00,0.0,0.0,0.0
2024-12-13 11:05:00,0.0,0.0,0.0
2024-12-13 11:10:00,0.0,0.0,0.0
2024-12-13 11:15:00,0.0,0.0,0.0
2024-12-13 11:20:00,0.0,0.0,0.0
2024-12-13 11:25:00,0.0,0.0,0.0
2024-12-13 11:30:00,0.0,0.0,0.0
2024-12-13 11:35:00,0.202,0.681,0.116
2024-12-13 11:40:00,0.0,0.0,0.0
2024-12-13 11:45:00,0.0,0.0,0.0
2024-12-13 11:50:00,0.0,0.0,0.0
2024-12-13 11:55:00,0.158,0.709,0.134
2024-12-13 12:00:00,0.0,0.0,0.0
2024-12-13 12:05:00,0.239,0.694,0.067
2024-12-13 12:10:00,0.183,0.805,0.012
2024-12-13 12:15:00,0.181,0.694,0.125
2024-12-13 12:20:00,0.0,0.0,0.0
2024-12-13 12:25:00,0.0,0.0,0.0
2024-12-13 12:30:00,0.0,0.0,0.0
2024-12-13 12:35:00,0.0,0.0,0.0
2024-12-13 12:40:00,0.0,0.0,0.0
2024-12-13 12:45:00,0.0,0.0,0.0
2024-12-13 12:50:00,0.0,0.0,0.0
2024-12-13 12:55:00,0.07,0.851,0.079
2024-12-13 13:00:00,0.203,0.791,0.006
2024-12-13 13:05:00,0.152,0.789,0.059
2024-12-13 13:10:00,0.104,0.846,0.05
2024-12-13 13:15:00,0.0,0.0,0.0
2024-12-13 13:20:00,0.0,0.0,0.0
2024-12-13 13:25:00,0.228,0.76,0.012
2024-12-13 13:30:00,0.0,0.0,0.0
2024-12-13 13:35:00,0.0,0.0,0.0
2024-12-13 13:40:00,0.15250000000000002,0.749,0.098
2024-12-13 13:45:00,0.148,0.814,0.037
2024-12-13 13:50:00,0.0,0.0,0.0
2024-12-13 13:55:00,0.0,0.0,0.0
2024-12-13 14:00:00,0.231,0.76,0.009
2024-12-13 14:05:00,0.0,0.0,0.0
2024-12-13 14:10:00,0.0,0.0,0.0
2024-12-13 14:15:00,0.0,1.0,0.0
2024-12-13 14:20:00,0.128,0.686,0.186
2024-12-13 14:25:00,0.219,0.704,0.077
2024-12-13 14:30:00,0.248,0.731,0.021
2024-12-13 14:35:00,0.0,0.0,0.0
2024-12-13 14:40:00,0.0,0.0,0.0
2024-12-13 14:45:00,0.092,0.755,0.154
2024-12-13 14:50:00,0.0,0.0,0.0
2024-12-13 14:55:00,0.0,0.0,0.0
2024-12-13 15:00:00,0.0,0.0,0.0
2024-12-13 15:05:00,0.0,0.0,0.0
2024-12-13 15:10:00,0.184,0.749,0.067
2024-12-13 15:15:00,0.0,0.0,0.0
2024-12-13 15:20:00,0.1265,0.8365,0.037
2024-12-13 15:25:00,0.0,0.0,0.0
2024-12-13 15:30:00,0.0,0.0,0.0
2024-12-13 15:35:00,0.223,0.673,0.103
2024-12-13 15:40:00,0.0,0.0,0.0
2024-12-13 15:45:00,0.0,0.0,0.0
2024-12-13 15:50:00,0.0,0.0,0.0
2024-12-13 15:55:00,0.178,0.808,0.015
2024-12-16 09:30:00,0.14344217687074828,0.809312925170068,0.04719047619047619
2024-12-16 09:35:00,0.20375,0.7885,0.00825
2024-12-16 09:40:00,0.16833333333333333,0.823,0.009
2024-12-16 09:45:00,0.0,0.0,0.0
2024-12-16 09:50:00,0.0,0.0,0.0
2024-12-16 09:55:00,0.16499999999999998,0.827,0.008
2024-12-16 10:00:00,0.0,0.0,0.0
2024-12-16 10:05:00,0.0,1.0,0.0
2024-12-16 10:10:00,0.201,0.769,0.031
2024-12-16 10:15:00,0.071,0.92,0.009
2024-12-16 10:20:00,0.0,0.0,0.0
2024-12-16 10:25:00,0.0,0.0,0.0
2024-12-16 10:30:00,0.0215,0.9735,0.005
2024-12-16 10:35:00,0.0,0.0,0.0
2024-12-16 10:40:00,0.0,0.0,0.0
2024-12-16 10:45:00,0.0,0.0,0.0
2024-12-16 10:50:00,0.0,0.0,0.0
2024-12-16 10:55:00,0.113,0.83,0.057
2024-12-16 11:00:00,0.0,0.0,0.0
2024-12-16 11:05:00,0.0,0.0,0.0
2024-12-16 11:10:00,0.0,0.0,0.0
2024-12-16 11:15:00,0.1,0.886,0.014
2024-12-16 11:20:00,0.0,0.0,0.0
2024-12-16 11:25:00,0.0,0.0,0.0
2024-12-16 11:30:00,0.219,0.743,0.038
2024-12-16 11:35:00,0.1295,0.8255,0.045
2024-12-16 11:40:00,0.0,0.0,0.0
2024-12-16 11:45:00,0.0,0.0,0.0
2024-12-16 11:50:00,0.0,0.0,0.0
2024-12-16 11:55:00,0.0,0.0,0.0
2024-12-16 12:00:00,0.0,0.0,0.0
2024-12-16 12:05:00,0.0,0.0,0.0
2024-12-16 12:10:00,0.128,0.837,0.035
2024-12-16 12:15:00,0.0,0.926,0.074
2024-12-16 12:20:00,0.0,0.0,0.0
2024-12-16 12:25:00,0.0,0.0,0.0
2024-12-16 12:30:00,0.23,0.668,0.102
2024-12-16 12:35:00,0.0,0.0,0.0
2024-12-16 12:40:00,0.0,0.0,0.0
2024-12-16 12:45:00,0.105,0.86,0.035
2024-12-16 12:50:00,0.1405,0.8325,0.0275
2024-12-16 12:55:00,0.0,0.0,0.0
2024-12-16 13:00:00,0.0,0.0,0.0
2024-12-16 13:05:00,0.0,0.0,0.0
2024-12-16 13:10:00,0.246,0.741,0.014
2024-12-16 13:15:00,0.0,0.0,0.0
2024-12-16 13:20:00,0.0,0.0,0.0
2024-12-16 13:25:00,0.0,0.0,0.0
2024-12-16 13:30:00,0.0,0.0,0.0
2024-12-16 13:35:00,0.0,0.0,0.0
2024-12-16 13:40:00,0.0,0.0,0.0
2024-12-16 13:45:00,0.0,0.0,0.0
2024-12-16 13:50:00,0.0,0.0,0.0
2024-12-16 13:55:00,0.0,0.0,0.0
2024-12-16 14:00:00,0.0,0.0,0.0
2024-12-16 14:05:00,0.0,0.0,0.0
2024-12-16 14:10:00,0.0,0.0,0.0
2024-12-16 14:15:00,0.0,0.0,0.0
2024-12-16 14:20:00,0.067,0.886,0.047
2024-12-16 14:25:00,0.0,0.0,0.0
2024-12-16 14:30:00,0.0,0.0,0.0
2024-12-16 14:35:00,0.1495,0.808,0.042499999999999996
2024-12-16 14:40:00,0.136,0.834,0.029500000000000002
2024-12-16 14:45:00,0.173,0.797,0.03
2024-12-16 14:50:00,0.0,0.0,0.0
2024-12-16 14:55:00,0.0,0.0,0.0
2024-12-16 15:00:00,0.0,0.0,0.0
2024-12-16 15:05:00,0.0,0.0,0.0
2024-12-16 15:10:00,0.203,0.723,0.075
2024-12-16 15:15:00,0.0,0.0,0.0
2024-12-16 15:20:00,0.0,0.0,0.0
2024-12-16 15:25:00,0.137,0.8285,0.0345
2024-12-16 15:30:00,0.0,0.0,0.0
2024-12-16 15:35:00,0.0,0.0,0.0
2024-12-16 15:40:00,0.0,0.0,0.0
2024-12-16 15:45:00,0.269,0.665,0.066
2024-12-16 15:50:00,0.0,0.707,0.293
2024-12-16 15:55:00,0.0,0.0,0.0
2024-12-17 09:30:00,0.1282622950819672,0.8138360655737704,0.057999999999999996
2024-12-17 09:35:00,0.232,0.756,0.012
2024-12-17 09:40:00,0.149,0.834,0.018
2024-12-17 09:45:00,0.0,0.0,0.0
2024-12-17 09:50:00,0.0,0.0,0.0
2024-12-17 09:55:00,0.099,0.872,0.029
2024-12-17 10:00:00,0.0,0.0,0.0
2024-12-17 10:05:00,0.0,0.0,0.0
2024-12-17 10:10:00,0.0,0.0,0.0
2024-12-17 10:15:00,0.0,0.0,0.0
2024-12-17 10:20:00,0.091,0.864,0.045
2024-12-17 10:25:00,0.0,0.0,0.0
2024-12-17 10:30:00,0.0,0.0,0.0
2024-12-17 10:35:00,0.138,0.808,0.053
2024-12-17 10:40:00,0.0,0.0,0.0
2024-12-17 10:45:00,0.0,0.0,0.0
2024-12-17 10:50:00,0.0,0.0,0.0
2024-12-17 10:55:00,0.0,0.0,0.0
2024-12-17 11:00:00,0.0,0.0,0.0
2024-12-17 11:05:00,0.0,0.0,0.0
2024-12-17 11:10:00,0.2015,0.725,0.073
2024-12-17 11:15:00,0.0,0.0,0.0
2024-12-17 11:20:00,0.0,0.0,0.0
2024-12-17 11:25:00,0.161,0.835,0.003
2024-12-17 11:30:00,0.0,0.0,0.0
2024-12-17 11:35:00,0.0,0.0,0.0
2024-12-17 11:40:00,0.0,0.0,0.0
2024-12-17 11:45:00,0.158,0.771,0.071
2024-12-17 11:50:00,0.0,0.0,0.0
2024-12-17 11:55:00,0.0,0.0,0.0
2024-12-17 12:00:00,0.0,0.0,0.0
2024-12-17 12:05:00,0.0,0.0,0.0
2024-12-17 12:10:00,0.0,0.0,0.0
2024-12-17 12:15:00,0.0,0.0,0.0
2024-12-17 12:20:00,0.0,0.0,0.0
2024-12-17 12:25:00,0.018,0.789,0.194
2024-12-17 12:30:00,0.0,0.0,0.0
2024-12-17 12:35:00,0.0,0.0,0.0
2024-12-17 12:40:00,0.121,0.855,0.024
2024-12-17 12:45:00,0.0,0.0,0.0
2024-12-17 12:50:00,0.0,0.0,0.0
2024-12-17 12:55:00,0.0,0.0,0.0
2024-12-17 13:00:00,0.0,0.0,0.0
2024-12-17 13:05:00,0.175,0.748,0.077
2024-12-17 13:10:00,0.144,0.706,0.149
2024-12-17 13:15:00,0.0,0.0,0.0
2024-12-17 13:20:00,0.0,0.0,0.0
2024-12-17 13:25:00,0.0,0.0,0.0
2024-12-17 13:30:00,0.0,0.0,0.0
2024-12-17 13:35:00,0.0,0.0,0.0
2024-12-17 13:40:00,0.0,0.0,0.0
2024-12-17 13:45:00,0.0,0.0,0.0
2024-12-17 13:50:00,0.051,0.888,0.061
2024-12-17 13:55:00,0.0,0.0,0.0
2024-12-17 14:00:00,0.0,0.0,0.0
2024-12-17 14:05:00,0.0,0.0,0.0
2024-12-17 14:10:00,0.0,0.0,0.0
2024-12-17 14:15:00,0.0,0.0,0.0
2024-12-17 14:20:00,0.142,0.846,0.012
2024-12-17 14:25:00,0.0,0.0,0.0
2024-12-17 14:30:00,0.0,0.0,0.0
2024-12-17 14:35:00,0.0,0.0,0.0
2024-12-17 14:40:00,0.0,0.0,0.0
2024-12-17 14:45:00,0.0,0.0,0.0
2024-12-17 14:50:00,0.0,0.0,0.0
2024-12-17 14:55:00,0.0,0.0,0.0
2024-12-17 15:00:00,0.252,0.748,0.0
2024-12-17 15:05:00,0.031,0.835,0.135
2024-12-17 15:10:00,0.157,0.753,0.09
2024-12-17 15:15:00,0.0,0.0,0.0
2024-12-17 15:20:00,0.207,0.759,0.033
2024-12-17 15:25:00,0.0,0.0,0.0
2024-12-17 15:30:00,0.0,0.0,0.0
2024-12-17 15:35:00,0.1015,0.8835,0.015
2024-12-17 15:40:00,0.0,0.0,0.0
2024-12-17 15:45:00,0.0,0.0,0.0
2024-12-17 15:50:00,0.0,0.0,0.0
2024-12-17 15:55:00,0.283,0.709,0.009
2024-12-18 09:30:00,0.16188235294117648,0.7943921568627451,0.04356862745098039
2024-12-18 09:35:00,0.0,0.0,0.0
2024-12-18 09:40:00,0.0,0.0,0.0
2024-12-18 09:45:00,0.0,0.0,0.0
2024-12-18 09:50:00,0.0,0.0,0.0
2024-12-18 09:55:00,0.0,0.0,0.0
2024-12-18 10:00:00,0.0,0.0,0.0
2024-12-18 10:05:00,0.0,0.0,0.0
2024-12-18 10:10:00,0.0,0.0,0.0
2024-12-18 10:15:00,0.0,0.0,0.0
2024-12-18 10:20:00,0.0,0.0,0.0
2024-12-18 10:25:00,0.0,0.0,0.0
2024-12-18 10:30:00,0.0,0.917,0.083
2024-12-18 10:35:00,0.0,0.0,0.0
2024-12-18 10:40:00,0.0,0.866,0.134
2024-12-18 10:45:00,0.0,0.0,0.0
2024-12-18 10:50:00,0.0,0.0,0.0
2024-12-18 10:55:00,0.0,0.0,0.0
2024-12-18 11:00:00,0.0,0.0,0.0
2024-12-18 11:05:00,0.0,0.0,0.0
2024-12-18 11:10:00,0.018,0.819,0.163
2024-12-18 11:15:00,0.0,0.0,0.0
2024-12-18 11:20:00,0.0,0.0,0.0
2024-12-18 11:25:00,0.201,0.785,0.014
2024-12-18 11:30:00,0.0,0.0,0.0
2024-12-18 11:35:00,0.0,0.0,0.0
2024-12-18 11:40:00,0.0,0.0,0.0
2024-12-18 11:45:00,0.0,0.0,0.0
2024-12-18 11:50:00,0.0,0.0,0.0
2024-12-18 11:55:00,0.143,0.777,0.08
2024-12-18 12:00:00,0.0,0.0,0.0
2024-12-18 12:05:00,0.0,0.0,0.0
2024-12-18 12:10:00,0.082,0.622,0.295
2024-12-18 12:15:00,0.126,0.826,0.048
2024-12-18 12:20:00,0.0,0.0,0.0
2024-12-18 12:25:00,0.0,0.0,0.0
2024-12-18 12:30:00,0.0,0.0,0.0
2024-12-18 12:35:00,0.0,0.0,0.0
2024-12-18 12:40:00,0.11,0.842,0.047
2024-12-18 12:45:00,0.229,0.759,0.012
2024-12-18 12:50:00,0.09549999999999999,0.796,0.10850000000000001
2024-12-18 12:55:00,0.0,0.0,0.0
2024-12-18 13:00:00,0.0,0.0,0.0
2024-12-18 13:05:00,0.0,0.0,0.0
2024-12-18 13:10:00,0.0,0.0,0.0
2024-12-18 13:15:00,0.0,0.0,0.0
2024-12-18 13:20:00,0.0,0.0,0.0
2024-12-18 13:25:00,0.157,0.829,0.014
2024-12-18 13:30:00,0.0,0.0,0.0
2024-12-18 13:35:00,0.0,0.0,0.0
2024-12-18 13:40:00,0.0,0.0,0.0
2024-12-18 13:45:00,0.0,0.0,0.0
