,Title,Text,Publisher,URL,Date
28,App Store Awards 2024: 17 Preisträger und ein Wink mit dem Zaunpfahl,"Die Auswahl der Preisträger der diesjährigen App Store Awards von Apple trägt auch eine politische Aussage in sich, analysiert Malte Kirchner.",heise online,https://www.heise.de/meinung/App-Store-Awards-2024-17-Preistraeger-und-ein-Wink-mit-dem-Zaunpfahl-10195243.html?wt_mc=rss.red.ho.ho.atom.beitrag.beitrag,2024-12-11 15:00:00
29,Apple kürt die besten Apps und Spiele 2024,"In seiner jährlichen Auszeichnung der besten Apps und Spiele hat Apple 17 Entwicklungen prämiert. Die Gewinner haben mit ihren Anwendungen und Spielen das Leben der Nutzer bereichert und die digitale Kultur weltweit geprägt, so Apple. Die Auswahl erfolgte dur…",Caschys Blog,https://stadt-bremerhaven.de/apple-kuert-die-besten-apps-und-spiele-2024/,2024-12-11 15:08:58
30,iOS 18.2 und iPadOS 18.2 veröffentlicht: Das ist neu,"Apple hat heute iOS 18.2 veröffentlicht, das weitere Verbesserungen im Bereich der KI mit sich bringt. Allerdings sind einige der neuen Features den neuesten iPhone-Modellen und Nutzern außerhalb der EU vorbehalten. In Deutschland wird man wohl erst ab April …",Caschys Blog,https://stadt-bremerhaven.de/ios-18-2-und-ipados-18-2-veroeffentlicht-das-ist-neu/,2024-12-11 19:03:11
31,macOS 15.2 in finaler Version veröffentlicht,Apple hat soeben die finale Version von macOS 15.2 veröffentlicht. Das Update markiert einen wichtigen Schritt in Apples KI-Strategie und bringt zahlreiche neue Funktionen auf den Mac. Das Gros davon ist bei uns leider wohl erst ab April nächstes Jahr nutzbar…,Caschys Blog,https://stadt-bremerhaven.de/macos-15-2-in-finaler-version-veroeffentlicht/,2024-12-11 19:05:42
32,macOS Sequoia 15.2: Überraschung im Update – Neue MacBook-Air-Modelle enthüllt,"Apple hat mit der Veröffentlichung des macOS Sequoia-15.2-Updates für eine kleine Überraschung gesorgt. Versteckt im Code des Updates finden sich laut macrumors.com nämlich Hinweise auf zwei neue MacBook-Air-Modelle, die offenbar noch in diesem Jahr auf den M…",Caschys Blog,https://stadt-bremerhaven.de/macos-sequoia-15-2-ueberraschung-im-update-neue-macbook-air-modelle-enthuellt/,2024-12-11 20:36:50
33,Apple: macOS-Update bestätigt MacBook Air 13 und 15 mit M4,"Apple hat macOS Sequoia 15.2 veröffentlicht, das eine Überraschung bereithält. Denn das Update enthält neue Hinweise auf kommende MacBook Air mit Apples M4 SoC. Apple hat das Update nämlich auch für zwei Macs veröffentlicht, die noch gar nicht erhältlich sind.",ComputerBase,https://www.computerbase.de/news/notebooks/apple-macos-update-bestaetigt-macbook-air-13-und-15-mit-m4.90643/,2024-12-11 21:27:00
34,Apple Watch: iOS 18.2 und watchOS 11.2 bringen neue Achievements mit,"Apple hat seine neuen Betriebssystemversionen veröffentlicht, zu denen auch iOS 18.2 und watchOS 11.2 gehören. Träger einer Apple Watch kennen die verschiedenen Achievements, die man für bestimmte Dinge einsacken kann. Mit den neuen Release kommt eine neue Ka…",Caschys Blog,https://stadt-bremerhaven.de/apple-watch-ios-18-2-und-watchos-11-2-bringen-neue-achievements-mit/,2024-12-12 07:30:32
35,iOS 18.2: Was steckt im neuen iPhone-Update?,Apple hat mit iOS 18.2 ein neues iPhone-Update veröffentlicht. Im Zentrum steht zwar die hauseigene KI Apple Intelligence. Allerdings liefert das Update auch einige neue Funktionen für Nutzer in der EU.  iOS 18.2 enthält einige Neuerung Apples hauseigenes KI-…,Basicthinking.de,https://www.basicthinking.de/blog/2024/12/12/ios-18-2-was-steckt-im-neuen-iphone-update/,2024-12-12 11:00:35
36,heise+ | iOS 18.2 und macOS 15.2: Wie Sie die neuen Funktionen ausreizen,"Die jüngsten Updates liefern neue Funktionen für iPhones, iPads plus Macs – und bringen sogar von Apple zwischenzeitlich entfernte Features zurück.",heise online,https://www.heise.de/ratgeber/iOS-18-2-und-macOS-15-2-Wie-Sie-die-neuen-Funktionen-ausreizen-10061882.html?wt_mc=rss.red.ho.ho.atom.beitrag_plus.beitrag_plus,2024-12-12 12:00:00
37,iOS 18.2: Das sind die neuen Funktionen des Updates,Apple hat das iOS 18.2-Update mit neuen KI-Funktionen und wichtigen Korrekturen veröffentlicht. Das sind die neuen Funktionen des Updates.,Nextpit.de,https://www.nextpit.de/ios-18-2-update-neue-funktionen,2024-12-12 13:00:00
38,"Sniper Elite 4 für macOS, iOS und iPadOS vorbestellbar",Der Taktik-Shooter Sniper Elite 4 steht kurz vor der Veröffentlichung für Apple-Geräte. Das Spiel kann ab sofort im App Store für iPhone 15 Pro Max und neuer sowie für iPads und Macs mit M1-Chip oder neuer vorbestellt werden. Die Entwickler...Zum Beitrag: Sni…,Caschys Blog,https://stadt-bremerhaven.de/sniper-elite-4-fuer-macos-ios-und-ipados-vorbestellbar/,2024-12-12 15:00:51
39,"World-War-II-Shooter: Sniper Elite 4 kommt am 30. Januar auf iPhone, iPad und Mac","In kleinen Schritt werden iPhone, iPad und Mac auch zu Gaming-Plattformen für AAA-Spiele. Dass man sich für das Apple-Ökosystem mehr Zeit nimmt, zeigt jetzt auch Sniper Elite 4 von Rebellion. Der vor 8 Jahren für PC veröffentlichte Shooter kommt am 30. Januar…",ComputerBase,https://www.computerbase.de/news/gaming/world-war-ii-shooter-sniper-elite-4-kommt-am-30-januar-auf-iphone-ipad-und-mac.90655/,2024-12-12 17:13:00
40,Auch für HomePod mini und neuen Apple TV: Apple entwickelt eigenen Bluetooth- und Wi-Fi-Chip,"Apple arbeitet an einem eigenen Chip, der Bluetooth und Wi-Fi kombiniert. Laut Bloomberg soll der Chip, intern „Proxima“ genannt, ab 2025 in ersten Apple-Produkten zum Einsatz kommen. Den Anfang machen demnach die iPhone-17-Modelle, Apple TV und der HomePod m…",Caschys Blog,https://stadt-bremerhaven.de/auch-fuer-homepod-mini-und-neuen-apple-tv-apple-entwickelt-eigenen-bluetooth-und-wi-fi-chip/,2024-12-12 20:30:41
41,heise+ | heise+ Update vom 13. Dezember 2024: Lesetipps fürs Wochenende,"Der wöchentliche Newsletter von heise+ mit Raspberry Pi 500, Tastatur mit OLED-Displays, Raspi & Co. im Labor, KI auf iPhone nachrüsten und LED-Weihnachtsstern",heise online,https://www.heise.de/news/heise-Update-vom-13-Dezember-2024-Lesetipps-fuers-Wochenende-10196911.html,2024-12-13 14:14:00
42,Kein USB-C: Apple nimmt offenbar iPhone 14 und SE aus dem EU-Verkauf,Die letzten beiden iPhones mit Lightning-Port verschwinden einem Bericht zufolge demnächst aus den Läden des Herstellers. Ablösung ist aber nah.,heise online,https://www.heise.de/news/Kein-USB-C-Apple-nimmt-offenbar-iPhone-14-und-SE-aus-dem-EU-Verkauf-10199336.html,2024-12-13 16:47:00
43,Apple TV+: Neue Serie „Lucky“ mit Anya Taylor-Joy in Planung,Apple TV+ hat heute eine neue Limited Series mit Star-Besetzung angekündigt: „Lucky“ wird mit „Queen’s Gambit“-Star Anya Taylor-Joy in der Hauptrolle verfilmt. Die Serie basiert auf dem gleichnamigen New York Times Bestseller von Marissa Stapley. Taylor-Joy s…,Caschys Blog,https://stadt-bremerhaven.de/apple-tv-neue-serie-lucky-mit-anya-taylor-joy-in-planung/,2024-12-14 08:00:29
44,"News Explorer 2.0: Toller Feed-Reader für iPhone, iPad, Mac und den Apple TV","Vor ein paar Tagen ist News Explorer in Version 2.0 erschienen. Ein RSS-Reader für die Apple-Plattform, den ich mir gekauft habe und erst einmal dran bleibe. Kurzes Vorwort: Ich nutzte, wie viele von euch, damals den Google Reader und bin...Zum Beitrag: News …",Caschys Blog,https://stadt-bremerhaven.de/news-explorer-2-0-toller-feed-reader-fuer-iphone-ipad-mac-und-den-apple-tv/,2024-12-14 11:00:15
