PublishedAt,VADER_Negative,VADER_Neutral,VADER_Positive
2024-12-31 14:00:26,0.0,0.799,0.201
2024-12-31 13:10:00,0.065,0.761,0.174
2024-12-31 12:20:08,0.0,1.0,0.0
2024-12-31 12:20:08,0.0,0.684,0.316
2024-12-31 12:20:07,0.0,1.0,0.0
2025-01-02 14:25:27,0.0,1.0,0.0
2025-01-03 00:54:28,0.262,0.738,0.0
2025-01-02 07:43:33,0.118,0.882,0.0
2025-01-02 17:02:51,0.0,1.0,0.0
2025-01-02 19:07:00,0.0,1.0,0.0
2025-01-02 13:48:02,0.0,1.0,0.0
2025-01-02 14:10:00,0.0,0.75,0.25
2025-01-02 10:55:00,0.0,1.0,0.0
2025-01-02 16:10:23,0.0,1.0,0.0
2025-01-02 18:43:00,0.0,1.0,0.0
2025-01-03 00:52:46,0.0,1.0,0.0
2025-01-02 17:51:00,0.262,0.604,0.134
2025-01-02 11:35:58,0.0,1.0,0.0
2025-01-02 13:34:34,0.0,1.0,0.0
2025-01-02 12:46:10,0.394,0.606,0.0
2025-01-02 17:08:00,0.0,0.854,0.146
2025-01-02 17:32:00,0.0,1.0,0.0
2025-01-02 12:55:07,0.0,1.0,0.0
2024-12-31 10:10:58,0.0,0.93,0.07
2025-01-02 16:30:00,0.0,1.0,0.0
2025-01-02 13:04:12,0.0,1.0,0.0
2025-01-02 11:59:00,0.0,1.0,0.0
2025-01-02 08:53:00,0.0,1.0,0.0
2025-01-02 16:08:36,0.0,1.0,0.0
2025-01-02 22:54:22,0.0,0.926,0.074
2025-01-02 09:46:58,0.0,1.0,0.0
2025-01-02 13:27:26,0.0,1.0,0.0
2025-01-02 13:00:31,0.0,1.0,0.0
2025-01-02 09:09:00,0.0,1.0,0.0
2025-01-02 15:40:00,0.0,1.0,0.0
2025-01-02 15:12:38,0.0,1.0,0.0
2025-01-02 21:52:19,0.0,0.744,0.256
2025-01-02 05:57:11,0.0,1.0,0.0
2025-01-02 11:49:00,0.0,1.0,0.0
2025-01-02 12:00:33,0.0,1.0,0.0
2025-01-02 11:55:40,0.0,1.0,0.0
2025-01-02 12:05:00,0.0,1.0,0.0
2025-01-02 16:19:00,0.0,1.0,0.0
2025-01-02 15:29:00,0.0,1.0,0.0
2025-01-02 14:04:46,0.0,1.0,0.0
2025-01-02 22:34:47,0.0,1.0,0.0
2025-01-01 15:19:43,0.0,1.0,0.0
2025-01-02 09:25:16,0.0,1.0,0.0
2025-01-02 20:09:06,0.0,0.918,0.082
2025-01-02 10:00:45,0.0,1.0,0.0
2024-12-30 14:48:00,0.0,0.659,0.341
2025-01-02 10:44:07,0.0,1.0,0.0
2024-12-30 17:27:00,0.0,1.0,0.0
2025-01-02 11:08:00,0.0,1.0,0.0
2025-01-02 19:55:00,0.0,1.0,0.0
2025-01-02 09:30:58,0.231,0.769,0.0
2024-12-29 08:30:00,0.0,1.0,0.0
2025-01-02 07:35:11,0.0,1.0,0.0
2025-01-02 10:30:00,0.0,1.0,0.0
2025-01-02 10:31:09,0.0,0.915,0.085
2025-01-02 22:18:09,0.0,0.8,0.2
2025-01-02 11:15:26,0.281,0.719,0.0
2025-01-02 12:38:35,0.0,1.0,0.0
2025-01-02 08:00:48,0.0,1.0,0.0
2025-01-02 20:29:42,0.0,1.0,0.0
2025-01-02 05:49:00,0.0,1.0,0.0
2025-01-02 14:48:00,0.0,0.465,0.535
2025-01-02 10:00:08,0.0,1.0,0.0
2025-01-02 11:47:40,0.206,0.794,0.0
2025-01-02 08:54:59,0.0,1.0,0.0
2025-01-02 17:33:36,0.0,0.721,0.279
2025-01-02 09:53:46,0.0,0.876,0.124
2024-12-31 10:00:00,0.0,1.0,0.0
2025-01-02 10:16:00,0.0,1.0,0.0
2025-01-02 06:48:00,0.0,1.0,0.0
2025-01-02 07:58:23,0.0,1.0,0.0
2025-01-01 10:00:00,0.0,1.0,0.0
2025-01-02 11:00:00,0.0,1.0,0.0
2025-01-02 05:21:00,0.146,0.854,0.0
2024-12-30 07:31:46,0.26,0.533,0.207
2025-01-02 08:07:00,0.0,1.0,0.0
2025-01-02 10:50:13,0.328,0.672,0.0
2025-01-02 14:38:01,0.0,1.0,0.0
2025-01-02 14:46:33,0.0,1.0,0.0
2025-01-02 06:48:00,0.0,1.0,0.0
2025-01-02 07:00:43,0.0,0.778,0.222
2024-12-31 14:03:14,0.245,0.755,0.0
